127.0.0.1 - - [11/Mar/2021:20:54:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:54:05 +0530] "GET /Student_Record_Management/index.html HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:54:05 +0530] "GET /Student_Record_Management/apj%20sir1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:54:05 +0530] "GET /Student_Record_Management/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:54:05 +0530] "GET /Student_Record_Management/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:54:05 +0530] "GET /Student_Record_Management/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:54:05 +0530] "GET /Student_Record_Management/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:54:05 +0530] "GET /Student_Record_Management/dgi.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:54:05 +0530] "GET /Student_Record_Management/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:54:05 +0530] "GET /Student_Record_Management/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:54:05 +0530] "GET /Student_Record_Management/images/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:54:05 +0530] "GET /Student_Record_Management/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:54:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:56:40 +0530] "GET /Student_Record_Management/adminLogin.html HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:56:40 +0530] "GET /Student_Record_Management/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:56:40 +0530] "GET /Student_Record_Management/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:56:44 +0530] "POST /Student_Record_Management/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:56:46 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 39248
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:56:46 +0530] "GET /Student_Record_Management/apj%20sir.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:20:56:46 +0530] "GET /Student_Record_Management/logo.png HTTP/1.1" 304 -
